product_id,name,category,subcategory,price,cost,brand,description,is_active,created_at
aad76b2a-adfa-4242-af9f-f8612384dc96,Budget Extended 4thgeneration installation,Electronics,Tablets,807.98,476.81,Budget,Return evening low pick true thank computer. Rich eight newspaper hope push force four.,True,2024-08-14 14:41:27
d73a03dc-73de-49b5-ab9a-8fca10e34a03,Premium Networked uniform analyzer,Clothing,Shoes,2285.75,847.33,Premium,"Air simple process air her be.
Painting also fill discover subject surface exactly. Suddenly within factor rest try she suddenly. Still audience take seat senior low. My movement oil inside despite.",True,2024-12-12 19:36:02
16cf2f52-b988-4a65-ae7b-085d0a6143be,Budget Monitored full-range website,Home,Bedding,30.44,13.69,Budget,"Song building add shoulder assume. Discuss another minute well development.
Face way outside wear ten what including give. Reduce prove piece hand pretty deep. Open election because page ok.",True,2024-10-08 08:29:55
1ed28d3a-decd-4998-99a1-75acbf4c8a82,Nike Optimized interactive help-desk,Electronics,Tablets,674.17,430.7,Nike,Impact American oil prepare bring current. Manage reduce just pattern lot morning. Subject difference join suffer same idea how. Baby check management serious.,True,2025-03-08 06:11:55
a345298a-cc64-4b4e-a635-ceeab3042429,Sony Streamlined homogeneous artificial intelligence,Electronics,Tablets,1601.68,821.38,Sony,Pm produce eye study around material. Team moment above not force course report rich. How new respond those security light seven.,True,2025-05-09 02:59:18
546d780a-c9cd-48ae-b5d2-8f12f84f2de0,Generic Front-line 24hour paradigm,Books,Children,316.09,149.67,Generic,Already result around gas different lead. Perform nor smile live.,True,2025-02-15 12:18:58
2f06d9e7-9270-4d03-bbde-03bcc7a71e64,Adidas Managed holistic monitoring,Electronics,Smartphones,4200.18,1888.88,Adidas,With attention war certainly month card. Practice above college source hour include western. Last TV moment executive consumer work wife. Get guy success cause rich suffer success together.,True,2025-07-02 06:45:32
c708e485-dfe3-42f5-b615-267b7c72b81b,Premium Universal object-oriented benchmark,Home,Kitchen,1689.24,520.08,Premium,"Scene read according movie cause level.
Table while task. Senior be raise cost step against.
Case late hear exactly stay language.",True,2025-04-11 08:05:27
a5d2cfcf-34c3-4f85-bd27-a459ad336d9e,Apple Optimized responsive instruction set,Books,Fiction,1405.41,761.35,Apple,"Speak trouble some case. Indeed half federal though. Trip break yeah tax mouth.
Such seven power argue event will ago minute. Computer protect Congress kitchen head respond.",True,2025-07-09 19:47:46
e65e19a3-5c50-4818-80d1-cb19ad49abcb,Dell Grass-roots tangible functionalities,Books,Fiction,196.72,98.06,Dell,"Front note wrong chance doctor. Discussion evidence rather visit part per building. Avoid car instead remember actually magazine.
His day buy. Attack student personal thing instead visit.",True,2024-12-28 22:25:34
d264132f-13bd-4a82-8e8d-568b55b80ad8,Apple Cross-group bottom-line knowledge user,Home,Furniture,544.8,296.98,Apple,If look research language increase live wife movement. Responsibility wife production table minute skill. Lawyer teacher artist event most speak only once.,True,2025-03-04 15:08:14
61eb368a-83fb-4b48-a096-3f8efa3fcb31,Samsung Fundamental attitude-oriented architecture,Home,Kitchen,321.4,127.5,Samsung,"Over west understand we him especially number.
Trouble you bed center. Before join song large development campaign. Personal step none he agreement court identify modern.",True,2024-12-25 18:43:51
1a508118-9ded-4bf9-97b4-8d35419c6a2b,Adidas Ameliorated non-volatile secured line,Sports,Footwear,508.23,347.59,Adidas,"Benefit stage among it successful hit. Individual year stuff newspaper film many.
Know help unit difficult simple. Also resource head ask simply television.",True,2025-05-26 11:45:31
6a7a189d-5e4d-4c71-9c3e-7097fb7b3e9a,Generic Optional didactic leverage,Clothing,Dresses,498.69,285.38,Generic,Resource garden end. Especially receive structure room detail although bag. About rule deep you herself.,True,2024-09-25 16:44:56
927e9d3b-4346-4cf6-8b84-ae4d13a6d16f,Premium Vision-oriented dedicated encryption,Electronics,Headphones,3594.51,2401.11,Premium,Once though big we name. Local American agree which media. Either effect must history him give.,True,2024-07-23 07:34:41
a493647f-02f5-45af-a76d-30e2cdd8faad,Dell Phased reciprocal collaboration,Home,Bedding,197.34,82.92,Dell,"Market anything build. Help remember address population why.
Point our important money. Power just read. Probably writer security camera onto ten organization.",True,2024-12-21 05:02:16
9d1e3f1b-66b0-4c0e-aa90-a4282be7029d,Premium Distributed tertiary parallelism,Home,Furniture,787.94,346.39,Premium,Parent executive south third together have. Seat cut speak finish employee. Fire family ten role point bit including.,True,2024-08-04 03:12:52
7a977a31-cd99-4df1-834a-c92aa745d07a,Nike Realigned 5thgeneration standardization,Electronics,Tablets,1043.66,628.13,Nike,"Final data production wonder soon. Price short effect read reveal leader cause.
Need machine happen join feeling officer with. Official carry red citizen prevent serve.",True,2025-06-25 06:58:29
03018f71-2ca4-4db7-b9b3-110dadeeda08,Sony Configurable stable toolset,Electronics,Headphones,2854.81,929.16,Sony,"Quickly nation create cover bad field.
Event one key half listen. Work perform impact sort friend health.
Ok class worker myself. Would peace nation cold manager care.",True,2025-04-18 04:10:25
08215210-c979-4d69-85be-b1c27326005e,Adidas Seamless motivating adapter,Books,Comics,920.66,594.23,Adidas,"Bad site part. Market quite listen better.
Reason out quite song PM none present. And with admit age design case watch.",True,2024-09-08 05:44:21
e6aa32b8-2ccf-495a-bcde-fe26579de4ef,Premium Automated mission-critical knowledgebase,Books,Children,865.09,277.74,Premium,"Push ahead market upon. Worker economic provide say.
Effect radio important PM public customer change. However beautiful time official especially worry base network.",True,2024-12-10 03:55:13
fa0ee612-b1a2-4f56-8cf3-2115e7c2ff4f,Samsung Face-to-face system-worthy matrix,Sports,Footwear,838.42,526.67,Samsung,"Score spring purpose maybe truth drop. Thought least blood investment.
Population present speak else fear. Entire face maintain. Only this discuss medical throw himself.",True,2025-02-16 03:22:27
7a4a6afe-25f5-4679-be42-0de9175ad7e6,Premium Enhanced bandwidth-monitored challenge,Clothing,Dresses,506.88,349.76,Premium,"Of value blue yard. Low miss fact.
Indicate begin herself tend if military participant make. Everybody administration action by year peace stage. Election under stand ready chair bill sense.",True,2025-02-16 05:48:26
da922cd9-580f-47c2-8253-60a5aaf1f0b6,Nike Persevering asymmetric hierarchy,Electronics,Laptops,1233.55,452.18,Nike,Since member five reason if event wall. Remember since include father. Approach material red that less. Control decade treat require.,True,2025-03-03 00:50:25
30e5d550-371e-4db3-a326-7c9c46e90270,Nike Proactive web-enabled utilization,Books,Comics,916.89,485.15,Nike,Control carry mention throw color environmental. Herself son really class sometimes child ago. Deep upon ever network trouble discussion.,True,2024-12-20 01:38:06
1239e33f-a513-423e-87d0-aae7860ebcd6,Budget Function-based foreground challenge,Electronics,Cameras,1915.28,1207.68,Budget,Hour instead town position pattern own information. Stock during oil your describe practice. Quickly key involve his style else. Even nice use necessary audience do.,True,2025-04-26 19:56:39
b55e185d-c33d-4b0c-a725-1f5da73d2081,HP Innovative next generation array,Clothing,Accessories,458.49,137.68,HP,"Center sometimes piece nice. Medical him require network hotel anyone.
Two education ability. Green main call number low sit child choose. Less name off someone. Crime answer reduce.",True,2025-03-11 03:06:51
ec7afc5f-8d3f-4add-af53-755103ab051c,Adidas Seamless scalable paradigm,Clothing,Accessories,397.06,171.81,Adidas,"Popular bar yard everyone weight Democrat. Risk business east weight.
Here fear here understand way reveal. Entire attention art know before.",True,2024-12-16 06:30:42
2ff7f695-9f23-4141-b83c-8abb95131043,Premium Grass-roots incremental pricing structure,Books,Technical,1747.28,1215.99,Premium,Wait scientist person scientist goal modern exist toward. History sometimes box tough recently evidence enter.,True,2024-11-25 23:43:54
690306c8-35da-440e-af00-4394005fdc87,Apple Down-sized high-level paradigm,Sports,Outdoor,1985.7,880.37,Apple,"Country fear eat growth expect service. Want water exactly every hotel learn.
Organization major notice whose. I stock thank like reality city reveal.",True,2024-10-12 10:32:56
52739ccd-f331-4b70-ab84-02534e49c9d1,Apple Expanded client-driven flexibility,Books,Technical,2160.29,1247.65,Apple,"Our morning mouth scientist gun consider. Smile once it phone upon fly write.
Process appear whom. Win tough other training government set voice. Surface truth several instead picture watch.",True,2025-02-17 14:43:59
cce386ae-c28f-4012-a834-d810c2178206,Nike Cross-group optimizing open architecture,Books,Children,679.65,363.41,Nike,Deal style fly style citizen mother. Discussion detail just avoid environment yard choice.,True,2025-06-03 15:48:21
7c4c5103-7aa0-4008-bf49-51104c26f889,Apple Switchable leadingedge budgetary management,Books,Comics,557.12,336.86,Apple,Language door necessary pattern treatment with. Born simple read ten body yes. In blood together else force school.,True,2024-12-26 03:42:26
8c5324fc-eea5-4e7a-9f3e-539d839999dd,Nike Streamlined web-enabled application,Clothing,Shirts,991.33,592.22,Nike,"Wrong direction deep three everyone prevent. Born region draw another maybe.
Contain return whole thus.
Staff analysis magazine near. Suggest save stand product.",False,2025-05-08 01:34:30
36539bc6-d39b-4756-9135-d7200d1037fd,Premium Up-sized fresh-thinking orchestration,Clothing,Pants,1597.38,596.31,Premium,"Assume market head hear visit some someone. Enjoy opportunity culture lead. Key increase sing.
Claim somebody none. Interesting read safe still heavy.",True,2024-12-15 02:19:18
0a449183-52b9-40f9-a811-2abb4bd93be3,Premium Intuitive clear-thinking project,Home,Bedding,1197.11,388.41,Premium,Director notice green hard or. Follow defense exactly this girl total ball. Wall else discover must move film per.,True,2025-06-07 07:19:10
4af43369-d972-4900-bff1-c04fe5e88c06,Adidas Assimilated user-facing functionalities,Books,Technical,724.66,227.85,Adidas,"Fear girl ten PM cell heavy present. Exist no none might bit political future hot.
Hear drop game happy late relate. Impact turn serve loss environment drive leg. Avoid alone may.",True,2025-03-24 03:28:21
f6c25727-42bd-46ef-9393-add082368e08,Apple User-centric upward-trending frame,Home,Storage,87.49,49.89,Apple,Send wonder international provide position international writer player. Mouth what bad executive administration activity sport.,True,2024-12-29 14:42:35
db50c061-a0e6-474f-8912-207db50e005e,Premium Cloned attitude-oriented software,Clothing,Shirts,134.79,58.81,Premium,Represent product we final address more station. Wait difference scientist success industry. Family police camera father set.,True,2025-01-10 21:40:20
3a0275c7-8c9d-4549-990d-b014f70989fd,Samsung Balanced homogeneous access,Home,Storage,248.34,107.33,Samsung,Anything guess pattern section. Represent individual whom into their fight cost. You rest stop attorney own dinner second.,True,2025-01-09 01:11:59
0513d5c7-8822-4500-add3-3ba36f2b7d24,Samsung Cross-platform incremental customer loyalty,Home,Furniture,143.87,57.67,Samsung,Sing hundred pay vote share oil. Despite cultural collection success human game relate skill. Marriage others avoid personal go much north now.,False,2025-02-27 08:00:05
b1e34720-637d-4a69-bdd7-c194533c72a3,Samsung Automated system-worthy support,Clothing,Dresses,108.61,75.38,Samsung,"Quite without most company share. Strong worry walk war either option if dream. Street speak newspaper final relationship.
Great claim full risk though realize. Perform wife physical moment kid.",True,2025-01-11 03:51:25
cb995d3c-47d3-4144-9cf8-ddea963ab69c,Nike Ameliorated zero tolerance project,Books,Children,841.83,446.52,Nike,Family spend point consumer thought image. Mouth perhaps truth deep foreign hotel. Present our decide foot soon.,False,2024-12-02 00:06:13
319b21fe-cf53-406a-b2bf-85e46045d68f,Nike Multi-lateral bifurcated methodology,Electronics,Smartphones,121.63,59.36,Nike,Evening look report leader economic organization. Quality defense yeah very take leave become. Provide issue year speak without tax. Two rise picture a also thought.,True,2024-09-10 15:13:09
5933da6a-b042-41cc-9d47-64b5b1135906,Budget Universal eco-centric infrastructure,Books,Technical,317.2,136.76,Budget,"Over field police away Mrs each. Play place do their ahead.
Laugh down stage be home.
Someone minute music at key into arrive. Hair forget us probably. Onto test our maintain health.",True,2025-01-05 10:49:13
d36230a3-c22e-409a-a28e-ca81c9c494e8,HP Team-oriented even-keeled Internet solution,Books,Non-fiction,625.8,416.44,HP,Herself feel treat heavy himself offer. Alone short cause family officer administration seat. From instead board age without. Tv fast allow future business us agreement staff.,True,2024-12-24 09:15:30
d57516d8-fdd3-4bce-80f8-c1d040b7ce95,HP Cross-group global budgetary management,Electronics,Laptops,4617.89,2829.97,HP,Commercial nature second. Product picture provide stuff society world magazine. Star camera side billion year.,True,2024-10-21 08:50:28
9606e1b8-381b-4ca0-976c-86ff5b55b477,Sony Decentralized next generation infrastructure,Home,Furniture,531.29,195.87,Sony,"House foot base city another he. Foreign floor serve drop.
Between follow concern. Offer total learn artist. Hospital open assume evening movement can know.",True,2025-02-28 21:53:15
9b0850b5-1930-406c-8407-193227932ea8,Sony Fundamental 3rdgeneration architecture,Books,Technical,492.04,198.03,Sony,"Each rate list him word best. Create may take late.
Should stage base artist develop. Last agree four strategy management wait. Notice option chair building under peace tax.",True,2024-11-14 15:27:12
2ccd5462-06e0-42da-b6cf-50dd5223294a,Generic Diverse regional array,Books,Technical,238.89,107.01,Generic,"Reach senior left positive air both. Congress store Mrs article center side mind. Commercial care all edge rule.
Fish any guess soldier owner physical. Defense week actually.",True,2025-05-27 13:01:36
